Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,F1 Macro,macro avg precision,macro avg recall,macro avg f1,macro avg support,weighted avg precision,weighted avg recall,weighted avg f1,weighted avg support,angry_f1,angry_precision,angry_recall,angry_support,calm_f1,calm_precision,calm_recall,calm_support,disgust_f1,disgust_precision,disgust_recall,disgust_support,fear_f1,fear_precision,fear_recall,fear_support,happy_f1,happy_precision,happy_recall,happy_support,neutral_f1,neutral_precision,neutral_recall,neutral_support,sad_f1,sad_precision,sad_recall,sad_support,surprise_f1,surprise_precision,surprise_recall,surprise_support
14,59.31,57.32,0.9585,1.0587,0.5654,0.5732,0.5615,0.5544,0.6445,0.5615,17031.0,0.5927,0.5732,0.5654,17031.0,0.7052,0.6502,0.7703,2695,0.4462,0.2887,0.9812,266,0.4907,0.6441,0.3963,2695,0.4734,0.6247,0.3811,2695,0.5273,0.5808,0.4827,2695,0.5995,0.5186,0.7105,2380,0.5751,0.571,0.5792,2695,0.6745,0.5569,0.8549,910
15,59.81,57.67,0.9451,1.0559,0.5752,0.5767,0.5685,0.5608,0.6461,0.5685,17031.0,0.5967,0.5767,0.5752,17031.0,0.715,0.7276,0.7028,2695,0.4071,0.2558,0.9962,266,0.4801,0.6424,0.3833,2695,0.5071,0.5391,0.4787,2695,0.5389,0.5855,0.4991,2695,0.5999,0.5326,0.6866,2380,0.5811,0.5653,0.5978,2695,0.7191,0.6378,0.8242,910
16,53.62,53.66,1.0848,1.1289,0.5251,0.5366,0.5339,0.5543,0.5901,0.5339,17031.0,0.5828,0.5366,0.5251,17031.0,0.6823,0.6408,0.7295,2695,0.5382,0.4103,0.782,266,0.3957,0.7206,0.2727,2695,0.4876,0.3843,0.6668,2695,0.4195,0.6291,0.3147,2695,0.579,0.5895,0.5689,2380,0.5644,0.5881,0.5425,2695,0.605,0.4715,0.844,910
17,57.21,58.64,0.995,1.0204,0.585,0.5864,0.5844,0.5645,0.6487,0.5844,17031.0,0.593,0.5864,0.585,17031.0,0.7197,0.7264,0.7132,2695,0.4932,0.3325,0.9549,266,0.5159,0.5565,0.4809,2695,0.5169,0.5382,0.4972,2695,0.5399,0.5912,0.4968,2695,0.6054,0.6036,0.6071,2380,0.5855,0.5667,0.6056,2695,0.6986,0.601,0.8341,910
18,59.95,57.95,0.927,1.0493,0.5766,0.5795,0.5762,0.5871,0.6425,0.5762,17031.0,0.6184,0.5795,0.5766,17031.0,0.7159,0.7566,0.6794,2695,0.4419,0.2872,0.9586,266,0.4975,0.6538,0.4015,2695,0.5045,0.6642,0.4067,2695,0.5339,0.6476,0.4542,2695,0.5875,0.5004,0.7113,2380,0.5749,0.4755,0.7269,2695,0.7535,0.7112,0.8011,910
19,62.59,58.79,0.8646,1.0646,0.5911,0.5879,0.5835,0.5871,0.6486,0.5835,17031.0,0.6148,0.5879,0.5911,17031.0,0.7201,0.74,0.7013,2695,0.3874,0.2407,0.9925,266,0.517,0.5743,0.4701,2695,0.5416,0.527,0.557,2695,0.5479,0.6327,0.4831,2695,0.6124,0.5236,0.7374,2380,0.5686,0.6535,0.5032,2695,0.7733,0.805,0.744,910
20,64.59,60.2,0.8155,1.0001,0.6002,0.602,0.6006,0.58,0.6662,0.6006,17031.0,0.6104,0.602,0.6002,17031.0,0.726,0.7434,0.7095,2695,0.5173,0.3547,0.9549,266,0.5415,0.5955,0.4965,2695,0.5332,0.5518,0.5158,2695,0.5683,0.575,0.5618,2695,0.6294,0.5837,0.6828,2380,0.5766,0.6394,0.525,2695,0.7125,0.5969,0.8835,910
21,67.25,60.16,0.7588,1.0448,0.5947,0.6016,0.5999,0.5942,0.6585,0.5999,17031.0,0.6152,0.6016,0.5947,17031.0,0.7098,0.6305,0.8119,2695,0.5169,0.3548,0.9511,266,0.5165,0.5911,0.4586,2695,0.5054,0.684,0.4007,2695,0.5581,0.5882,0.531,2695,0.6323,0.6682,0.6,2380,0.6039,0.5306,0.7006,2695,0.7561,0.7057,0.8143,910
22,69.03,60.0,0.7136,1.0597,0.6036,0.6,0.6085,0.6053,0.6516,0.6085,17031.0,0.6214,0.6,0.6036,17031.0,0.7294,0.778,0.6865,2695,0.5216,0.362,0.9323,266,0.5439,0.4886,0.6134,2695,0.5518,0.5078,0.6041,2695,0.5662,0.6051,0.5321,2695,0.6202,0.7316,0.5382,2380,0.5635,0.6084,0.5247,2695,0.7711,0.7612,0.7813,910
23,71.3,61.18,0.6656,1.0773,0.6087,0.6118,0.6154,0.5969,0.6629,0.6154,17031.0,0.6127,0.6118,0.6087,17031.0,0.7284,0.6869,0.7751,2695,0.5385,0.3851,0.8947,266,0.5384,0.5995,0.4887,2695,0.5415,0.5713,0.5147,2695,0.5661,0.5893,0.5447,2695,0.64,0.628,0.6525,2380,0.5909,0.5864,0.5955,2695,0.7791,0.7285,0.8374,910
