Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,happy_f1,neutral_f1,sad_f1,surprise_f1,fear_f1,disgust_f1,calm_f1,angry_f1,happy_precision,neutral_precision,sad_precision,surprise_precision,fear_precision,disgust_precision,calm_precision,angry_precision,happy_recall,neutral_recall,sad_recall,surprise_recall,fear_recall,disgust_recall,calm_recall,angry_recall,happy_support,neutral_support,sad_support,surprise_support,fear_support,disgust_support,calm_support,angry_support
17,55.34,51.43,1.666,1.7115,0.5049,51.43,0.4978,0.5049,0.4106,0.5642,0.5467,0.5916,0.4306,0.3709,0.3702,0.6976,0.4453,0.5317,0.5051,0.4711,0.4735,0.6894,0.2281,0.6688,0.381,0.601,0.5957,0.7949,0.3948,0.2537,0.9825,0.729,1155,1020,1155,390,1155,1155,114,1155
18,55.83,51.75,1.663,1.7076,0.5042,51.75,0.4987,0.5042,0.3858,0.5658,0.5498,0.6146,0.4353,0.3782,0.3666,0.6937,0.5107,0.4817,0.5163,0.5084,0.4851,0.6609,0.2254,0.6467,0.31,0.6853,0.5879,0.7769,0.3948,0.2649,0.9825,0.7481,1155,1020,1155,390,1155,1155,114,1155
19,56.38,51.76,1.6593,1.7101,0.5062,51.76,0.4998,0.5062,0.4139,0.5675,0.549,0.5959,0.4398,0.361,0.3758,0.6954,0.4849,0.5227,0.4832,0.4804,0.481,0.7221,0.2324,0.6737,0.361,0.6206,0.6355,0.7846,0.4052,0.2407,0.9825,0.7186,1155,1020,1155,390,1155,1155,114,1155
20,56.83,52.08,1.6558,1.7074,0.5047,52.08,0.4987,0.5047,0.4039,0.5823,0.5619,0.5878,0.4061,0.3828,0.3801,0.6846,0.4655,0.5175,0.5121,0.4637,0.5419,0.7079,0.2383,0.6142,0.3567,0.6657,0.6225,0.8026,0.3247,0.2623,0.9386,0.7732,1155,1020,1155,390,1155,1155,114,1155
21,57.05,52.84,1.652,1.7029,0.5164,52.84,0.5106,0.5164,0.4205,0.5835,0.5654,0.6236,0.4191,0.4002,0.378,0.6947,0.4705,0.5142,0.5286,0.5255,0.5499,0.6136,0.235,0.6353,0.3801,0.6745,0.6078,0.7667,0.3385,0.297,0.9649,0.7662,1155,1020,1155,390,1155,1155,114,1155
22,57.43,52.83,1.6495,1.7001,0.5167,52.83,0.5094,0.5167,0.3987,0.5833,0.565,0.6137,0.4471,0.392,0.3721,0.7031,0.5399,0.5264,0.497,0.5093,0.5027,0.6047,0.2295,0.6695,0.316,0.6539,0.6545,0.7718,0.4026,0.29,0.9825,0.7403,1155,1020,1155,390,1155,1155,114,1155
23,57.7,52.72,1.6462,1.702,0.5187,52.72,0.51,0.5187,0.4371,0.575,0.5594,0.5754,0.4367,0.3988,0.3926,0.7052,0.4951,0.5022,0.5343,0.4518,0.494,0.634,0.2488,0.6931,0.3913,0.6725,0.587,0.7923,0.3913,0.2909,0.9298,0.7177,1155,1020,1155,390,1155,1155,114,1155
24,57.88,52.73,1.6453,1.699,0.5162,52.73,0.51,0.5162,0.4135,0.5797,0.5628,0.5971,0.4362,0.4,0.3936,0.697,0.5076,0.4982,0.5347,0.4819,0.4983,0.6318,0.2467,0.662,0.3489,0.6931,0.5939,0.7846,0.3879,0.2926,0.9737,0.7359,1155,1020,1155,390,1155,1155,114,1155
25,58.25,52.62,1.6413,1.6984,0.5132,52.62,0.5077,0.5132,0.3972,0.5812,0.5586,0.6056,0.449,0.3922,0.3874,0.69,0.5394,0.5073,0.5449,0.4983,0.4664,0.6565,0.2418,0.6264,0.3143,0.6804,0.5732,0.7718,0.4329,0.2797,0.9737,0.768,1155,1020,1155,390,1155,1155,114,1155
26,58.67,52.54,1.6387,1.6997,0.5131,52.54,0.5068,0.5131,0.4185,0.572,0.5552,0.5936,0.4429,0.3825,0.3908,0.6991,0.5132,0.4759,0.5644,0.4774,0.4822,0.6876,0.245,0.6522,0.3532,0.7167,0.5463,0.7846,0.4095,0.2649,0.9649,0.7532,1155,1020,1155,390,1155,1155,114,1155
